Country,Population,Area,Population_First_Digit,Area_First_Digit
Afghanistan,41128771,652230,4,6
Albania,2842321,28748,2,2
Algeria,44903225,2381741,4,2
American Samoa,44273,199,4,1
Andorra,79824,468,7,4
Angola,35588987,1246700,3,1
Anguilla,15857,91,1,9
Antigua and Barbuda,93763,442,9,4
Argentina,45510318,2780400,4,2
Armenia,2780469,29743,2,2
Aruba,106445,180,1,1
Australia,26177413,7692024,2,7
Austria,8939617,83871,8,8
Azerbaijan,10358074,86600,1,8
Bahamas,409984,13943,4,1
Bahrain,1472233,765,1,7
Bangladesh,171186372,147570,1,1
Barbados,281635,430,2,4
Belarus,9534954,207600,9,2
Belgium,11655930,30528,1,3
Belize,405272,22966,4,2
Benin,13352864,112622,1,1
Bermuda,64184,54,6,5
Bhutan,782455,38394,7,3
Bolivia,12224110,1098581,1,1
Bosnia and Herzegovina,3233526,51209,3,5
Botswana,2630296,582000,2,5
Brazil,215313498,8515767,2,8
British Virgin Islands,31305,151,3,1
Brunei,449002,5765,4,5
Bulgaria,6781953,110879,6,1
Burkina Faso,22673762,272967,2,2
Burundi,12889576,27834,1,2
Cambodia,16767842,181035,1,1
Cameroon,27914536,475442,2,4
Canada,38454327,9984670,3,9
Cape Verde,593149,4033,5,4
Cayman Islands,68706,264,6,2
Central African Republic,5579144,622984,5,6
Chad,17723315,1284000,1,1
Chile,19603733,756102,1,7
China,1425887337,9706961,1,9
Colombia,51874024,1141748,5,1
Comoros,836774,1862,8,1
Cook Islands,17011,236,1,2
Costa Rica,5180829,51100,5,5
Croatia,4030358,56594,4,5
Cuba,11212191,109884,1,1
Curacao,191163,444,1,4
Cyprus,1251488,9251,1,9
Czech Republic,10493986,78865,1,7
Denmark,5882261,43094,5,4
Djibouti,1120849,23200,1,2
Dominica,72737,751,7,7
Dominican Republic,11228821,48671,1,4
DR Congo,99010212,2344858,9,2
Ecuador,18001000,276841,1,2
Egypt,110990103,1002450,1,1
El Salvador,6336392,21041,6,2
Equatorial Guinea,1674908,28051,1,2
Eritrea,3684032,117600,3,1
Estonia,1326062,45227,1,4
Eswatini,1201670,17364,1,1
Ethiopia,123379924,1104300,1,1
Falkland Islands,3780,12173,3,1
Faroe Islands,53090,1393,5,1
Fiji,929766,18272,9,1
Finland,5540745,338424,5,3
France,64626628,551695,6,5
French Guiana,304557,83534,3,8
French Polynesia,306279,4167,3,4
Gabon,2388992,267668,2,2
Gambia,2705992,10689,2,1
Georgia,3744385,69700,3,6
Germany,83369843,357114,8,3
Ghana,33475870,238533,3,2
Gibraltar,32649,6,3,6
Greece,10384971,131990,1,1
Greenland,56466,2166086,5,2
Grenada,125438,344,1,3
Guadeloupe,395752,1628,3,1
Guam,171774,549,1,5
Guatemala,17843908,108889,1,1
Guernsey,63301,78,6,7
Guinea,13859341,245857,1,2
Guinea-Bissau,2105566,36125,2,3
Guyana,808726,214969,8,2
Haiti,11584996,27750,1,2
Honduras,10432860,112492,1,1
Hong Kong,7488865,1104,7,1
Hungary,9967308,93028,9,9
Iceland,372899,103000,3,1
India,1417173173,3287590,1,3
Indonesia,275501339,1904569,2,1
Iran,88550570,1648195,8,1
Iraq,44496122,438317,4,4
Ireland,5023109,70273,5,7
Isle of Man,84519,572,8,5
Israel,9038309,20770,9,2
Italy,59037474,301336,5,3
Ivory Coast,28160542,322463,2,3
Jamaica,2827377,10991,2,1
Japan,123951692,377930,1,3
Jersey,110778,116,1,1
Jordan,11285869,89342,1,8
Kazakhstan,19397998,2724900,1,2
Kenya,54027487,580367,5,5
Kiribati,131232,811,1,8
Kuwait,4268873,17818,4,1
Kyrgyzstan,6630623,199951,6,1
Laos,7529475,236800,7,2
Latvia,1850651,64559,1,6
Lebanon,5489739,10452,5,1
Lesotho,2305825,30355,2,3
Liberia,5302681,111369,5,1
Libya,6812341,1759540,6,1
Liechtenstein,39327,160,3,1
Lithuania,2750055,65300,2,6
Luxembourg,647599,2586,6,2
Macau,695168,30,6,3
Madagascar,29611714,587041,2,5
Malawi,20405317,118484,2,1
Malaysia,33938221,330803,3,3
Maldives,523787,300,5,3
Mali,22593590,1240192,2,1
Malta,533286,316,5,3
Marshall Islands,41569,181,4,1
Martinique,367507,1128,3,1
Mauritania,4736139,1030700,4,1
